Formal Name,Course Name,Prerequisites,Corequisites,Requirement
AREN 1105,INTRODUCTION TO ARCHITECTURAL ENGINEERING.  1 Hour,[None],[None],required
AREN 1152,INTRODUCTION TO CONSTRUCTION DRAFTING.  1 Hour,[None],[None],required
AREN 1205,INTRODUCTION TO ARCHITECTURAL ENGINEERING.  2 Hours,[None],[None],required
AREN 1252,COMPUTER TOOLS - AUTOCAD.  2 Hours,[None],[None],required
AREN 2152,COMPUTER TOOLS - MATHCAD.  1 Hour,[None],[None],required
AREN 2153,COMPUTER TOOLS - CIVIL 3D.  1 Hour,[None],[None],required
AREN 2191,PROBLEMS IN ARCHITECTURAL ENGINEERING.  1 Hour,[None],[None],required
AREN 2213,BUILDING SCIENCE.  2 Hours,[None],[None],required
AREN 2221,DYNAMICS.  2 Hours,[None],[None],required
AREN 2252,INTRODUCTION TO CONSTRUCTION DRAFTING.  2 Hours,[None],[None],required
AREN 2291,PROBLEMS IN ARCHITECTURAL ENGINEERING.  2 Hours,[None],[None],required
AREN 2311,STATICS.  3 Hours,[None],[None],required
AREN 2312,STATICS & DYNAMICS FOR AREN.  3 Hours,[None],[None],required
AREN 2313,MECHANICS OF MATERIALS I.  3 Hours,[None],[None],required
AREN 2315,CONSTRUCTION MATERIALS AND METHODS.  3 Hours,[None],[None],required
AREN 2321,BUILDINGS AND THE ENVIRONMENT.  3 Hours,[None],[None],required
AREN 2391,PROBLEMS IN ARCHITECTURAL ENGINEERING.  3 Hours,[None],[None],required
AREN 3110,ARCHITECTURAL ENGINEERING COMMUNICATIONS.  1 Hour,[None],[None],required
AREN 3143,PROPERTIES AND BEHAVIOR OF SOILS.  1 Hour,[None],[None],required
AREN 3191,PROBLEMS IN ARCHITECTURAL ENGINEERING.  1 Hour,[None],[None],required
AREN 3218,ARCHITECTURAL ENGINEERING GEOMETRIC DESIGN TOOLS.  2 Hours,[None],[None],required
AREN 3291,PROBLEMS IN ARCHITECTURAL ENGINEERING.  2 Hours,[None],[None],required
AREN 3301,STOCHASTIC MODELS FOR CIVIL ENGINEERING.  3 Hours,[None],[None],required
AREN 3305,BASIC FLUID MECHANICS.  3 Hours,[None],[None],required
AREN 3311,CONSTRUCTION ENGINEERING.  3 Hours,[None],[None],required
AREN 3315,BUILDING HYDRAULIC SERVICE SYSTEMS.  3 Hours,[None],[None],required
AREN 3330,APPLICATIONS OF BUILDING CODES IN ARCHITECTURE.  3 Hours,[None],[None],required
AREN 3331,MECHANICAL AND ELECTRICAL SYSTEMS.  3 Hours,[None],[None],required
AREN 3341,STRUCTURAL ANALYSIS.  3 Hours,[None],[None],required
AREN 3343,SOIL MECHANICS.  3 Hours,[None],[None],required
AREN 3346,ELECTRICAL SYSTEMS & LIGHTING FOR ARCHITECTURAL ENGINEERS.  3 Hours,[None],[None],required
AREN 3391,PROBLEMS IN ARCHITECTURAL ENGINEERING.  3 Hours,[None],[None],required
AREN 4300,ADVANCED TOPICS IN ARCHITECTURAL ENGINEERING.  3 Hours,[None],[None],required
AREN 4301,ADVANCED TOPICS IN ARCHITECTURAL ENGINEERING WITH LAB.  3 Hours,[None],[None],required
AREN 4307,CONSTRUCTION SUSTAINABILITY.  3 Hours,[None],[None],required
AREN 4309,THERMODYNAMICS FOR ARCHITECTURAL ENGINEERS.  3 Hours,[None],[None],required
AREN 4314,TECHNOLOGIES FOR HIGH PERFORMANCE BUILDINGS.  3 Hours,[None],[None],required
AREN 4316,BUILDING STRUCTURAL SYSTEMS.  3 Hours,[None],[None],required
AREN 4318,MACHINE LEARNING IN CIVIL ENGINEERING.  3 Hours,[None],[None],required
AREN 4320,"SYSTEM RESILIENCE, RELIABILITY, & PERFORMANCE IN AREN.  3 Hours",[None],[None],required
AREN 4326,GIS/HYDROLOGIC & HYDRAULIC MODELING.  3 Hours,[None],[None],required
AREN 4331,BUILDING HVAC SYSTEMS DESIGN.  3 Hours,[None],[None],required
AREN 4334,DRONES & ADVANCED CONSTRUCTION TECHNOLOGY.  3 Hours,[None],[None],required
AREN 4341,SUSTAINABLE BUILDING ENERGY MODELING.  3 Hours,[None],[None],required
AREN 4343,HUMAN INTERACTION IN THE BUILT ENVIRONMENT.  3 Hours,[None],[None],required
AREN 4347,REINFORCED CONCRETE DESIGN.  3 Hours,[None],[None],required
AREN 4348,STRUCTURAL DESIGN IN STEEL.  3 Hours,[None],[None],required
AREN 4352,PROFESSIONAL PRACTICE.  3 Hours,[None],[None],required
AREN 4356,ADVANCED STEEL DESIGN.  3 Hours,[None],[None],required
AREN 4360,DESIGN OF STRUCTURAL MASONRY.  3 Hours,[None],[None],required
AREN 4361,ADVANCED REINFORCED CONCRETE DESIGN.  3 Hours,[None],[None],required
AREN 4365,STRUCTURAL WOOD DESIGN.  3 Hours,[None],[None],required
AREN 4383,SENIOR PROJECT.  3 Hours,[None],[None],required
AREN 4391,PROBLEMS IN ARCHITECTURAL ENGINEERING.  3 Hours,[None],[None],required
AREN 4393,INDUSTRIAL INTERNSHIP.  3 Hours,[None],[None],required
AREN 4394,RESEARCH INTERNSHIP.  3 Hours,[None],[None],required
